Date,Title,Tone,Matins Gospel,Epistle,Gospel,Fasting,Holy Day of Obligation,Raw Text
010124,(†) CIRCUMCISION/ ST. BASIL Holy Day of Obligation. Basil,,,2 Timothy 4:5-8,Mark 1:1-8; Liturgy of St,,True,"1
(†) CIRCUMCISION/
ST. BASIL
Holy Day of Obligation Ep. 2
Timothy 4:5-8 Gospel: Mark
1:1-8; Liturgy of St. Basil"
010224,"Forefeast of Theophany St. Sylvester, Pope",,,,,,False,"2
Forefeast of Theophany
St. Sylvester, Pope"
010724,,,,,,,True,7
010824,,,,,,,False,8
011424,15th Sunday after Holy Cross: Zacchaeus Sunday (32nd Sunday After Pentecost). Following week readings are of the 33rd week after Pentecost,8,11,1 Tim 4:9-16,Luke 19:1- 10,,True,"14
15th Sunday after Holy Cross:
Zacchaeus Sunday (32nd Sunday
After Pentecost) Tone 8, Res. Gospel 11,
Epistle: 1 Tim 4:9-16; Gospel: Luke 19:1-
10. Following week readings are of the
33rd week after Pentecost"
011524,Ven. Fathers Paul of Theb John the Hut-Dweller,,,,,,False,"15
Ven. Fathers Paul of Theb
John the Hut-Dweller"
011624,"Veneration of the Chains of the Holy and All-Praised Apostle, Peter",,,,,,False,"16
Veneration of the Chains of
the Holy and All-Praised
Apostle, Peter"
012124,Beginning of the Triodion,,,,,,True,"21
Beginning of the Triodion"
012224,,,,,,,False,22
012824,Sunday of the Prodigal Son. The readings for the following week are of the Meatfare week,2,2,1 Cor. 6: 12-20,Lk. 15:11-32,,True,"28
Sunday of the Prodigal Son.
Tone 2, Res. Gospel 2, Epistle: 1 Cor. 6:
12-20; Gospel: Lk. 15:11-32. The readings
for the following week are of the
Meatfare week.
."
012924,Transfer of the relics of St. Ignatius the God- Bearer,,,,,,False,"29
Transfer of the relics of St.
Ignatius the God- Bearer"
013024,"(†) Three Holy Hierarchs: Basil the Great, Gregory the Theologian and John Chrysostom",,,Heb. 13:7-16,"Matt: 5:14-19 Hippolytus, martyr",,False,"30
(†) Three Holy Hierarchs: Basil
the Great, Gregory the
Theologian and John
Chrysostom.
Epistle, Heb. 13:7-16, Gospel,
Matt: 5:14-19
Hippolytus, martyr"
021124,Cheese-Fare Sunday: Forgiveness Sunday. Great Lent begins at sunset. Strict abstinence from meat and dairy products this week,4,4,Rom. 13: 11-14:4,Matt. 6:14-21,Common Abstinence,True,"11
Common Abstinence
Cheese-Fare Sunday:
Forgiveness Sunday
Tone 4, Res. Gospel 4, Epistle: Rom. 13:
11-14:4 Gospel: Matt. 6:14-21. Great Lent
begins at sunset. Strict abstinence from
meat and dairy products this week."
021224,"Strict  Clean Monday Holy Father Meletius, Archbishop of Antioch the Great",,,,,Abstinence,False,"12
Strict Abstinence
Clean Monday
Holy Father Meletius,
Archbishop of Antioch the
Great"
021324,"Strict  Ven. Father Martinian, hermit",,,,,Abstinence,False,"13
Strict Abstinence
Ven. Father Martinian,
hermit"
021824,,,,,,Common Abstinence,True,"18
Common Abstinence"
021924,,,,,,Common Abstinence,False,"19
Common Abstinence"
020124,st Sunday of Lent: Sunday of Orthodoxy Liturgy of St. Basil,5,5,"Heb. 11: 24-26, 32-12:1",Jn. 1:43-51,,False,"1st Sunday of Lent: Sunday of
Orthodoxy
Liturgy of St. Basil. Tone 5. Res. Gospel
5. Epistle: Heb. 11: 24-26, 32-12:1; Gospel:
Jn. 1:43-51."
020124,st Sunday of Lent: Sunday of,,,,,,False,1st Sunday of Lent: Sunday of
022524,2nd Sunday of Lent: Gregory Palamas Liturgy of St. Basil,6,6,Heb. 1: 10-2:3,Mark 2:1-12,Common Abstinence,True,"25
Common Abstinence
2nd Sunday of Lent: Gregory
Palamas
Liturgy of St. Basil. Tone 6. Res. Gospel
6. Epistle: Heb. 1: 10-2:3; Gospel: Mark
2:1-12."
022624,Holy Father Porphyrius of Gaza,,,,,Common Abstinence,False,"26
Common Abstinence
Holy Father Porphyrius of
Gaza"
022724,Ven. Father Procopius the Decapolite,,,,,Common Abstinence,False,"27
Common Abstinence
Ven. Father Procopius the
Decapolite"
031024,4th Sunday of Lent: Ven. Father John of the Ladder Liturgy of St. Basil. Heb. 6:13-20,8,8,,Mark 9:17-32,Common Abstinence,True,"10
Common Abstinence
4th Sunday of Lent: Ven. Father
John of the Ladder
Liturgy of St. Basil. Tone 8. Res. Gospel 8.
Heb. 6:13-20; Gospel: Mark 9:17-32."
031124,"Ven. Father Sophronius, Archbishop of Jerusalem",,,,,Common Abstinence,False,"11
Common Abstinence
Ven. Father Sophronius,
Archbishop of Jerusalem"
031224,Ven. Theophan the Confessor. Holy Father Gregory the Dialogist,,,,,Common Abstinence,False,"12
Common Abstinence
Ven. Theophan the
Confessor. Holy Father
Gregory the Dialogist."
031724,,,,,,Common Abstinence,True,"17
Common Abstinence"
031824,,,,,,Common Abstinence,False,"18
Common Abstinence"
032424,"Palm Sunday (Floriile) Liturgy of St. John. Begin Holy Week. All of the Feast. Epistle Acts 1:1-8, Gospel Jn. 1: 1-17. Blessing of Easter Baskets! Christ is Risen! Following week readings – from Bright Week",2,10,Phil. 4: 4-9,"Jn. 12:1-18. . . / 31 RESURRECTION OF OUR LORD Învierea Domnului Isus Hristos Resurrection service, Matins and Liturgy",Common Abstinence,True,"24
Common Abstinence
Palm Sunday (Floriile)
Liturgy of St. John. Begin Holy Week
Epistle: Phil. 4: 4-9, Gospel: Jn. 12:1-18. Tone
2. Res. Gospel 10.
/ 31
RESURRECTION OF OUR LORD
Învierea Domnului Isus Hristos
Resurrection service, Matins and Liturgy. All of
the Feast. Epistle Acts 1:1-8, Gospel Jn. 1: 1-17.
Blessing of Easter Baskets! Christ is Risen!
Following week readings – from Bright Week"
032524,Great and Holy Monday (†) ANNUNCIATION Holy Day of Obligation,,,2:11-18,Lk. 1:24-38,Dispensation (Harti),True,"25
Dispensation (Harti)
Great and Holy Monday
(†) ANNUNCIATION
Holy Day of Obligation
Epistle 2:11-18
Gospel Lk. 1:24-38"
032624,Strict  Great and Holy Tuesday Leave-taking of the Feast of the Annunciation of the Mother of God. Synaxis of the Archangel Gabriel,,,,,Abstinence,False,"26
Strict Abstinence
Great and Holy Tuesday
Leave-taking of the Feast
of the Annunciation of the
Mother of God.
Synaxis of the Archangel
Gabriel"
040124,BRIGHT MONDAY St. Mary of Egypt,,,,,,False,"1
BRIGHT MONDAY
St. Mary of Egypt"
040224,BRIGHT TUESDAY Ven. Father Titus,,,,,,False,"2
BRIGHT TUESDAY
Ven. Father Titus"
040724,,,,,,,True,7
040824,"Herodion et al, Apostles among the 70",,,,,,False,"8
Herodion et al, Apostles
among the 70"
040924,"Eupsychius, martyr",,,,,,False,"9
Eupsychius, martyr"
041424,SUNDAY OF THE MYRRH-BEARING WOMEN (3rd Sunday of Easter). Following week readings — 3rd week of Easter,2,4,Acts 6:1-7,Mk. 15:43–16:8,,True,"14
SUNDAY OF THE MYRRH-BEARING
WOMEN (3rd Sunday of Easter)
Tone 2, Res. Gospel 4, Epistle Acts 6:1-7,
Gospel Mk. 15:43–16:8. Following week
readings — 3rd week of Easter."
041524,"Crescent, martyr",,,,,,False,"15
Crescent, martyr"
041624,"Agapia, Irene and Chionia, women martyrs",,,,,,False,"16
Agapia, Irene and Chionia,
women martyrs"
042124,,,,,,,True,21
042224,Ven. Father Theodore Sykeotes,,,,,,False,"22
Ven. Father Theodore
Sykeotes"
042824,SUNDAY OF THE SAMARITAN WOMAN (5th Sunday of Easter). Following week readings — 5th week of Easter,4,7,Acts 11:19- 30,Jn. 4:5-42,,True,"28
SUNDAY OF THE SAMARITAN
WOMAN (5th Sunday of Easter)
Tone 4, Res. Gospel 7. Epistle Acts 11:19-
30, Gospel Jn. 4:5-42. Following week
readings — 5th week of Easter."
042924,"Martyrs of Cyzicus. Ven. Father Memnon, wonderworker [St. Catherine of Siena, Patroness of Europe]",,,,,,False,"29
Martyrs of Cyzicus. Ven.
Father Memnon,
wonderworker
[St. Catherine of Siena,
Patroness of Europe]"
043024,"Apostle James, brother of St. John the Theologian",,,,,,False,"30
Apostle James, brother of
St. John the Theologian"
050524,,,,,,,True,5
050624,,,,,,,False,6
051224,FATHERS OF THE 1st ECUMENICAL COUNCIL OF NICAEA (7th Sunday of Easter). Following week readings — 7th week of Easter. USA: Mother’s Day,6,10,"Acts 20: 16- 18, 28-36",Jn. 17: 1-13,,True,"12
FATHERS OF THE 1st ECUMENICAL
COUNCIL OF NICAEA (7th Sunday
of Easter)
Tone 6, Res. Gospel 10. Epistle Acts 20: 16-
18, 28-36 Gospel Jn. 17: 1-13. Following
week readings — 7th week of Easter.
USA: Mother’s Day"
051324,"Glykeria, woman martyr [Apparition of the Mother of God at Fatima]",,,,,,False,"13
Glykeria, woman martyr
[Apparition of the Mother
of God at Fatima]"
051424,"Isidore of Chios, martyr",,,,,,False,"14
Isidore of Chios, martyr"
051924,,,,,,,True,19
052024,,,,,,,False,20
052624,1st SUNDAY AFTER PENTECOST: Sunday of All Saints. Following week readings – 2nd week after Pentecost,8,1,Heb. 11: 33 – 12: 2,Matt. 10: 32-35; 37-38; 19: 27- 30,,True,"26
1st SUNDAY AFTER PENTECOST:
Sunday of All Saints
Tone 8, Res. Gospel 1, Epistle Heb. 11: 33 –
12: 2, Gospel Matt. 10: 32-35; 37-38; 19: 27-
30. Following week readings – 2nd week
after Pentecost."
052724,"Alladius, Martyr; Julius Beginning of the Apostles’ Fast USA: Memorial Day",,,,,Dispensation (Hârți),False,"27
Dispensation (Hârți)
Alladius, Martyr; Julius
Beginning of the
Apostles’ Fast
USA: Memorial Day"
052824,"Eutychius, Martyr",,,,,Common Abstinence,False,"28
Common Abstinence
Eutychius, Martyr"
060924,3rd SUNDAY AFTER PENTECOST. Following week readings – 4th week after Pentecost,2,3,Rom. 5: 1 – 10,Matt. 6: 22-23,Common Abstinence,True,"9
Common Abstinence
3rd SUNDAY AFTER PENTECOST
Tone 2, Res. Gospel 3, Epistle Rom. 5: 1
– 10, Gospel Matt. 6: 22-23. Following
week readings – 4th week after
Pentecost."
061024,"Alexander and Antonina, martyrs. Hieromartyr Timothy of Prussa",,,,,Common Abstinence,False,"10
Common Abstinence
Alexander and Antonina,
martyrs. Hieromartyr Timothy
of Prussa"
061124,Apostles Bartholomew & Barnabus,,,,,Common Abstinence,False,"11
Common Abstinence
Apostles Bartholomew &
Barnabus"
061624,Common Abst,,,,,,True,"16
Common Abst."
061724,,,,,,Common Abstinence,False,"17
Common Abstinence"
062324,"/30  5th SUNDAY AFTER PENTECOST. Following week readings – 6th week after Pentecost. / 6TH SUNDAY AFTER PENTECOST Tone 5, Res. Gospel 6, Epistle Rom. 12: 6-14, Gospel Mt. 9: 1-8. Following week readings – 7th week after Pentecost",4,5,Rom. 10: 1–10,Matt. 8: 28 -9:1,Common Abstinence,True,"23/30
Common Abstinence
5th SUNDAY AFTER PENTECOST
Tone 4, Res. Gospel 5, Epistle Rom. 10:
1–10, Gospel Matt. 8: 28 -9:1. Following
week readings – 6th week after
Pentecost.
/
6TH SUNDAY AFTER PENTECOST
Tone 5, Res. Gospel 6, Epistle Rom. 12:
6-14, Gospel Mt. 9: 1-8. Following week
readings – 7th week after Pentecost."
062424,(†) Nativity of St. John the Baptist (Sânzienele),,,Rom. 13:11-14; 14:1-4,Lk. 1:1-25;57-68; 76- 80,Dispensation (Harti),False,"24
Dispensation (Harti)
(†) Nativity of St. John the
Baptist (Sânzienele)
Epistle: Rom. 13:11-14; 14:1-4
Gospel: Lk. 1:1-25;57-68; 76-
80"
062524,"Ven. Febronia, nun martyr",,,,,Common Abstinence,False,"25
Common Abstinence
Ven. Febronia, nun martyr"
070724,,,,,,,True,7
070824,,,,,,,False,8
070924,,,,,,,False,9
070724,th SUNDAY AFTER PENTECOST. Following week readings – 8th week after Pentecost,6,7,Rom. 15: 1 – 7,Matt. 9: 27 - 35,,True,"7th SUNDAY AFTER PENTECOST
Tone 6, Res. Gospel 7, Epistle Rom. 15: 1 –
7, Gospel Matt. 9: 27 - 35. Following week
readings – 8th week after Pentecost."
070724,th SUNDAY AFTER PENTECOST,,,,,,True,7th SUNDAY AFTER PENTECOST
071424,Sunday of the Holy Fathers of the First Six Ecumenical Councils. Following week readings – 9th week after Pentecost,7,8,Titus 3: 8 – 15,Matt. 5: 14-19,,True,"14
Sunday of the Holy Fathers of the
First Six Ecumenical Councils
Tone 7, Res. Gospel 8, Epistle Titus 3: 8 – 15,
Gospel Matt. 5: 14-19. Following week
readings – 9th week after Pentecost."
071524,"Cyricus and his mother Julitta, Martyrs",,,,,,False,"15
Cyricus and his mother
Julitta, Martyrs"
071624,Ven. Athenogenes and his 10 disciples [Our Lady of Mt. Carmel],,,,,,False,"16
Ven. Athenogenes and his
10 disciples
[Our Lady of Mt. Carmel]"
072124,,,,,,,True,21
072224,,,,,,,False,22
072324,,,,,,,False,23
070924,th SUNDAY AFTER PENTECOST. Following week readings – 10th week after Pentecost,8,9,1 Cor. 3: 9 – 16,Matt. 14: 22 – 34,,False,"9th SUNDAY AFTER PENTECOST
Tone 8, Res. Gospel 9, Epistle 1 Cor. 3: 9 –
16, Gospel Matt. 14: 22 – 34. Following
week readings – 10th week after
Pentecost."
070924,th SUNDAY AFTER PENTECOST,,,,,,False,9th SUNDAY AFTER PENTECOST
081124,12th SUNDAY AFTER PENTECOST. Following week readings – 13th week after Pentecost,3,1,1 Cor. 15:1-11,Matt. 19:16- 26,Common Abstinence,True,"11
Common Abstinence
12th SUNDAY AFTER
PENTECOST
Tone 3, Res. Gospel 1, Epistle 1
Cor. 15:1-11, Gospel Matt. 19:16-
26. Following week readings – 13th
week after Pentecost."
081224,"Photius and Anicetus, Martyrs",,,,,Common Abstinence,False,"12
Common Abstinence
Photius and Anicetus,
Martyrs"
081324,Leavetaking of Transfiguration Translation of the Relics of St. Maximos the Confessor,,,,,Common Abstinence,False,"13
Common Abstinence
Leavetaking of
Transfiguration
Translation of the Relics of St.
Maximos the Confessor."
081824,,,,,,,True,18
081924,,,,,,,False,19
082524,14th SUNDAY AFTER PENTECOST. Following week readings – 15th week after Pentecost,5,3,"2 Cor. 1: 21 – 23, 2:1-4",Matt. 22: 2-14,,True,"25
14th SUNDAY AFTER
PENTECOST
Tone 5, Res. Gospel 3, Epistle 2
Cor. 1: 21 – 23, 2:1-4 Gospel Matt.
22: 2-14. Following week readings
– 15th week after Pentecost."
082624,"Adrian and Natalia, Martyrs",,,,,,False,"26
Adrian and Natalia, Martyrs"
082724,"Ven. Father Poemen [St. Monica, mother of St. Augustine]",,,,,,False,"27
Ven. Father Poemen
[St. Monica, mother of St.
Augustine]"
090124,Indiction; beginning of the Church year 15th SUNDAY AFTER PENTECOST. Following week readings – 16TH week after Pentecost,6,4,2 Cor. 4: 6-15,Matt. 22:35-46,,True,"1
Indiction; beginning of the Church year
15th SUNDAY AFTER PENTECOST
Tone 6, Res. Gospel 4, Epistle 2 Cor. 4:
6-15 Gospel Matt. 22:35-46. Following
week readings – 16TH week after
Pentecost."
090224,"Mamas, Mrt. John the Faster, Patriarch of Constantinople USA: Labor Day CANADA: Labour Day",,,,,,False,"2
Mamas, Mrt.; John the Faster,
Patriarch of Constantinople
USA: Labor Day
CANADA: Labour Day"
090324,"Hieromartyr Anthimus, Bishop of Nicomedia H. Father Theoctistus",,,,,,False,"3
Hieromartyr Anthimus,
Bishop of Nicomedia
H. Father Theoctistus"
090824,,,,,,,True,8
090924,,,,,,,False,9
091524,SUNDAY AFTER THE EXALTATION OF THE CROSS. Following week readings – 18th week after Pentecost,8,6,Gal. 2: 16 – 20,Mk. 8:34 – 9:1,,True,"15
SUNDAY AFTER THE
EXALTATION OF THE CROSS
Tone 8, Res. Gospel 6, Epistle Gal. 2:
16 – 20; Gospel Mk. 8:34 – 9:1.
Following week readings – 18th week
after Pentecost."
091624,Great Martyr Euphemia,,,,,,False,"16
Great Martyr Euphemia"
091724,"Sophia (Wisdom) and her daughters, Pistis, Elpidia and Agapia (Faith, Hope and Charity), martyrs",,,,,,False,"17
Sophia (Wisdom) and her
daughters, Pistis, Elpidia
and Agapia (Faith, Hope
and Charity), martyrs"
092224,,,,,,,True,22
092324,,,,,,,False,23
092924,2nd SUNDAY AFTER HOLY CROSS (19th Sunday after Pentecost). Following week readings – 20th week after Pentecost,2,8,2 Cor. 11:31-33. 12:1-10,Lk. 6:31– 36,,True,"29
2nd SUNDAY AFTER HOLY
CROSS
(19th Sunday after Pentecost)
Tone 2, Res. Gospel 8, Epistle 2 Cor.
11:31-33. 12:1-10; Gospel Lk. 6:31– 36.
Following week readings – 20th week
after Pentecost."
093024,"Gregory the Illuminator of Armenia, Bishop and Martyr CANADA: National Day for Truth and Reconcilation",,,,,,False,"30
Gregory the Illuminator of
Armenia, Bishop and Martyr
CANADA: National Day for
Truth and Reconcilation"
100624,,,,,,,True,6
100724,,,,,,,False,7
101324,4th SUNDAY AFTER HOLY CROSS. (Sunday of the Holy Fathers of the 7th Ecumenical Council). Following week readings – 22nd week after Pentecost,4,10,Titus 3: 8 – 15,Lk. 8:5 – 15,,True,"13
4th SUNDAY AFTER HOLY CROSS.
(Sunday of the Holy Fathers of the
7th Ecumenical Council) Tone 4, Res.
Gospel 10, Epistle Titus 3: 8 – 15; Gospel Lk.
8:5 – 15. Following week readings – 22nd
week after Pentecost."
101424,"Nazarius, Gervasius, Protasius & Celsus, Mrt; Ven. Cosmas of Maiuma USA: Columbus Day CANADA: Thanksgiving",,,,,,False,"14
Nazarius, Gervasius,
Protasius & Celsus, Mrt; Ven.
Cosmas of Maiuma
USA: Columbus Day
CANADA: Thanksgiving"
101524,"Lucian, Priest of the Great Church of Antioch, martyr [Ven. Theresa of Avila]",,,,,,False,"15
Lucian, Priest of the Great
Church of Antioch, martyr
[Ven. Theresa of Avila]"
102024,,,,,,,True,20
102124,,,,,,,False,21
102724,7th SUNDAY AFTER HOLY CROSS (23rd Sunday after Pentecost). Following week readings – 24th week after Pentecost,6,1,Eph. 2:4-10,Lk. 8: 41– 56,,True,"27
7th SUNDAY AFTER HOLY CROSS
(23rd Sunday after Pentecost) Tone
6, Res. Gospel 1, Epistle Eph. 2:4-10; Gospel
Lk. 8: 41– 56. Following week readings – 24th
week after Pentecost."
102824,"Terence and Neonila, Martyrs; Ven. Stephen the Sabbaite",,,,,,False,"28
Terence and Neonila,
Martyrs; Ven. Stephen the
Sabbaite"
102924,"Anastasia the Roman, woman martyr Ven. Father Abraham and his niece, Mary",,,,,,False,"29
Anastasia the Roman,
woman martyr
Ven. Father Abraham and
his niece, Mary"
110324,,,,,,,True,3
110424,,,,,,,False,4
111024,8th SUNDAY AFTER HOLY CROSS (25th Sunday after Pentecost). Following week readings – 26th week after Pentecost,8,3,Eph. 4: 1- 7,Lk. 10: 25– 37,,True,"10
8th SUNDAY AFTER HOLY CROSS
(25th Sunday after Pentecost)
Tone 8, Res. Gospel 3, Epistle Eph. 4: 1-
7; Gospel Lk. 10: 25– 37. Following
week readings – 26th week after
Pentecost."
111124,"Menas, Victor, Vincent and Stephanida, Martyrs Ven. Theodore the Studite USA: Veterans Day CANADA: Remembrance Day",,,,,,False,"11
Menas, Victor, Vincent
and Stephanida, Martyrs
Ven. Theodore the Studite
USA: Veterans Day
CANADA: Remembrance Day"
111224,"Hieromartyr Josaphat of Polotsk H. Father John the Merciful, Patriarch of Alexandria",,,,,,False,"12
Hieromartyr Josaphat of
Polotsk
H. Father John the Merciful,
Patriarch of Alexandria"
111724,,,,,,Common Abstinence,True,"17
Common Abstinence"
111824,,,,,,Common Abstinence,False,"18
Common Abstinence"
112424,13th SUNDAY AFTER HOLY CROSS (27th Sunday after Pentecost). Following week readings – 28th week after Pentecost,2,5,Eph. 6:10- 17,Lk. 18: 18– 28,Common Abstinence,True,"24
Common Abstinence
13th SUNDAY AFTER HOLY CROSS
(27th Sunday after Pentecost)
Tone 2, Res. Gospel 5, Epistle Eph. 6:10-
17; Gospel Lk. 18: 18– 28. Following
week readings – 28th week after
Pentecost."
112524,"Leavetaking of the Entrance Great-Martyr Catherine of Sinai Mercury, Martyr",,,,,Common Abstinence,False,"25
Common Abstinence
Leavetaking of the
Entrance
Great-Martyr Catherine of
Sinai
Mercury, Martyr"
112624,Ven. Alypius the Stylite Nikon the Wonderworker,,,,,Common Abstinence,False,"26
Common Abstinence
Ven. Alypius the Stylite
Nikon the Wonderworker"
121524,11th SUNDAY AFTER HOLY CROSS (Sunday of the Holy Ancestors). Following week readings –31st week after Pentecost,5,8,Col 3: 4- 12,Lk. 14: 16–25,Common Abstinence,True,"15
Common Abstinence
11th SUNDAY AFTER HOLY CROSS
(Sunday of the Holy Ancestors).
Tone 5, Res. Gospel 8, Epistle Col 3: 4-
12; Gospel Lk. 14: 16–25. Following
week readings –31st week after
Pentecost."
121624,Prophet Haggai,,,,,Common Abstinence,False,"16
Common Abstinence
Prophet Haggai"
121724,The Holy Prophet Daniel and the Three Holy Youths,,,,,Common Abstinence,False,"17
Common Abstinence
The Holy Prophet Daniel
and the Three Holy Youths"
122224,,,,,,Common Abstinence,True,"22
Common Abstinence"
122324,,,,,,Common Abstinence,False,"23
Common Abstinence"
